FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUBSECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3257,Communications,4009,Water Communications,2 0,53,8246,Foreman of Construction Laborers,Hourly,1,1,52.50,109200.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3257,Communications,4009,Water Communications,V 15,53,7125,Assistant Chief Dispatcher,Annual,2,1,119052.00,238104.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3257,Communications,4009,Water Communications,2 0,53,7101,Emergency Crew Dispatcher,Hourly,6,1,51.40,641472.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3257,Communications,4009,Water Communications,BX 22,10,5985,General Superintendent of Water Management,Annual,1,1,112440.00,112440.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3257,Communications,4009,Water Communications,B 14,4,1912,Project Coordinator,Annual,1,1,93504.00,93504.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3257,Communications,4009,Water Communications,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,9262.00,9262.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3257,Communications,4009,Water Communications,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,17674.00,17674.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3259,Evaluations,0000,,B 15,1,6145,Engineering Technician VI,Annual,1,1,143400.00,143400.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3259,Evaluations,0000,,B 14,1,6144,Engineering Technician V,Annual,2,1,130668.00,261336.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,X 42,0,9681,Deputy Commissioner,Annual,1,1,153000.00,153000.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,53,9532,Stores Laborer,Hourly,11,1,51.40,1176032.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,53,9411,Construction Laborer,Hourly,72800,0,51.40,3741920.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,53,9411,Construction Laborer,Hourly,145,1,51.40,15502240.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,53,9410,Laborer - Apprentice,Hourly,120600,0,30.84,3719304.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,16,8394,Foreman of Water Pipe Construction,Hourly,18,1,64.15,2401776.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,J 17,16,8373,District Superintendent of Water Distribution,Annual,1,1,136872.00,136872.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,16,8352,Assistant District Superintendent,Monthly,12,1,11466.00,1651104.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,16,8301,Caulker,Hourly,2,1,60.50,251680.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,16,8301,Caulker,Hourly,2,1,54.45,226512.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,16,8301,Caulker,Hourly,4,1,51.43,427898.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,53,8246,Foreman of Construction Laborers,Hourly,3,1,52.50,327600.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,42,7633,Hoisting Engineer,Hourly,73730,0,66.80,4925164.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,42,7636,General Foreman of Hoisting Engineers,Monthly,1,1,12055.33,144664.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,42,7635,Foreman of Hoisting Engineers,Hourly,2,1,68.80,286208.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,42,7633,Hoisting Engineer,Hourly,34,1,64.80,4582656.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,8,7185,Foreman of Motor Truck Drivers,Hourly,2080,0,52.38,108950.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,8,7185,Foreman of Motor Truck Drivers,Hourly,3,1,52.38,326851.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,8,7184,Pool Motor Truck Driver,Hourly,5,1,48.73,506792.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,8,7184,Pool Motor Truck Driver,Hourly,68640,0,38.98,2675587.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,8,7183,Motor Truck Driver,Hourly,105,1,48.73,10642632.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,U 16,53,7126,Chief Dispatcher,Annual,1,1,119052.00,119052.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,53,7101,Emergency Crew Dispatcher,Hourly,10,1,51.40,1069120.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,16,4754,Plumber,Hourly,145600,0,60.50,8808800.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,16,4754,Plumber,Hourly,25,1,60.50,3146000.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,53,4566,General Foreman of Construction Laborers,Hourly,1,1,55.79,116043.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,49,4405,Foreman of Bricklayers,Hourly,1,1,58.37,121410.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,49,4403,Bricklayer,Hourly,6240,0,53.06,331094.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,B 12,1,03A8,Senior Administrative Assistant,Annual,1,1,77640.00,77640.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,5364.00,5364.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,1008271.00,1008271.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3263,Systems Installations,0000,,2 0,53,9411,Construction Laborer,Hourly,14,1,51.40,1496768.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3263,Systems Installations,0000,,2 0,16,8394,Foreman of Water Pipe Construction,Hourly,5,1,64.15,667160.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3263,Systems Installations,0000,,2 0,16,8352,Assistant District Superintendent,Monthly,4,1,11466.00,550368.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3263,Systems Installations,0000,,2 0,16,8301,Caulker,Hourly,1,1,60.50,125840.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3263,Systems Installations,0000,,2 0,16,8301,Caulker,Hourly,1,1,51.43,106974.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3263,Systems Installations,0000,,2 0,16,4754,Plumber,Hourly,4,1,60.50,503360.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3263,Systems Installations,0000,,U 10,53,0417,District Clerk,Annual,1,1,56112.00,56112.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3263,Systems Installations,0000,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,317.00,317.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3263,Systems Installations,0000,,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,51758.00,51758.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3265,Reimbursable Personnel,0000,,2 0,36,6681,Machinist - Apprentice,Hourly,12480,0,30.20,376896.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3265,Reimbursable Personnel,0000,,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,5653.00,5653.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3270,Lead Service Line Replacement - Reimbursable,0000,,X 42,0,9681,Deputy Commissioner,Annual,1,1,184584.00,184584.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3270,Lead Service Line Replacement - Reimbursable,0000,,2 0,53,9410,Laborer - Apprentice,Hourly,214240,0,30.84,6607162.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3270,Lead Service Line Replacement - Reimbursable,0000,,2 0,16,8394,Foreman of Water Pipe Construction,Hourly,24960,0,64.15,1601184.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3270,Lead Service Line Replacement - Reimbursable,0000,,2 0,42,7633,Hoisting Engineer,Hourly,49920,0,66.80,3334656.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3270,Lead Service Line Replacement - Reimbursable,0000,,2 0,8,7183,Motor Truck Driver,Hourly,135200,0,48.73,6588296.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3270,Lead Service Line Replacement - Reimbursable,0000,,2 0,36,6672,Water Meter Machinist,Hourly,4160,0,51.90,215904.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3270,Lead Service Line Replacement - Reimbursable,0000,,U 14,53,6304,Safety Specialist - Water Management,Annual,1,1,113604.00,113604.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3270,Lead Service Line Replacement - Reimbursable,0000,,G 08,4,5644,Sanitary Engineer IV,Annual,1,1,99408.00,99408.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3270,Lead Service Line Replacement - Reimbursable,0000,,GY 12,20,5630,Coordinating Engineer I,Annual,2,1,115992.00,231984.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3270,Lead Service Line Replacement - Reimbursable,0000,,2 0,16,4754,Plumber,Hourly,62400,0,60.50,3775200.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3270,Lead Service Line Replacement - Reimbursable,0000,,J 13,16,1062,Water Meter Assessor,Annual,2,1,70740.00,141480.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3270,Lead Service Line Replacement - Reimbursable,0000,,X 43,0,03A2,Assistant Commissioner,Annual,2,1,160680.00,321360.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3270,Lead Service Line Replacement - Reimbursable,0000,,BX 18,10,0311,Projects Administrator,Annual,1,1,118956.00,118956.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3270,Lead Service Line Replacement - Reimbursable,0000,,BX 18,10,0310,Project Manager,Annual,1,1,89112.00,89112.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3270,Lead Service Line Replacement - Reimbursable,0000,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,23485.00,23485.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3270,Lead Service Line Replacement - Reimbursable,0000,,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,331836.00,331836.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3364,Inspection Services,4365,Water Inspection Services,2 0,16,2237,Chief Plumbing Inspector,Monthly,1,1,13592.80,163114.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3364,Inspection Services,4365,Water Inspection Services,2 0,16,2235,Assistant Chief Plumbing Inspector,Monthly,1,1,12006.97,144084.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3364,Inspection Services,4365,Water Inspection Services,2 0,16,2233,Plumbing Inspector - in Charge,Monthly,4,1,11327.33,543712.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3364,Inspection Services,4365,Water Inspection Services,2 0,16,2231,Plumbing Inspector,Monthly,25,1,11119.33,3335799.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3364,Inspection Services,4365,Water Inspection Services,B 08,1,0430,Clerk III,Annual,1,1,74916.00,74916.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3364,Inspection Services,4365,Water Inspection Services,B 12,1,03A8,Senior Administrative Assistant,Annual,1,1,108576.00,108576.00
LOCAL,88,Department of Water Management,0200,Water Fund,1025,Bureau of Operations and Distribution,2025,Bureau of Operations and Distribution,3364,Inspection Services,4365,Water Inspection Services,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,62801.00,62801.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3340,Agency Management,0000,,X 43,0,03A2,Assistant Commissioner,Annual,1,1,133836.00,133836.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3340,Agency Management,0000,,BX 17,10,0304,Assistant to Commissioner,Annual,1,1,136692.00,136692.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3345,Meter Services,0000,,BX 22,10,6556,Superintendent of Water Meters,Annual,1,1,136692.00,136692.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3345,Meter Services,0000,,2 0,16,4756,Foreman of Plumbers,Hourly,1,1,64.15,133432.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3345,Meter Services,0000,,2 0,16,2231,Plumbing Inspector,Monthly,1,1,11119.33,133432.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3345,Meter Services,0000,,J 15,16,1063,Supervisor of Water Rate Takers,Annual,1,1,143352.00,143352.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3345,Meter Services,0000,,J 15,16,1063,Supervisor of Water Rate Takers,Annual,1,1,85176.00,85176.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3345,Meter Services,0000,,J 13,16,1062,Water Meter Assessor,Annual,4,1,85176.00,340704.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3345,Meter Services,0000,,J 13,16,1062,Water Meter Assessor,Annual,3,1,70740.00,212220.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3345,Meter Services,0000,,J 13,16,1061,Water Rate Taker,Annual,5,1,119052.00,595260.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3345,Meter Services,0000,,J 13,16,1061,Water Rate Taker,Annual,1,1,94428.00,94428.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3345,Meter Services,0000,,J 13,16,1061,Water Rate Taker,Annual,2,1,85176.00,170352.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3345,Meter Services,0000,,J 13,16,1061,Water Rate Taker,Annual,4,1,81276.00,325104.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3345,Meter Services,0000,,J 13,16,1061,Water Rate Taker,Annual,3,1,77628.00,232884.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3345,Meter Services,0000,,J 13,16,1061,Water Rate Taker,Annual,3,1,74136.00,222408.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3345,Meter Services,0000,,J 13,16,1061,Water Rate Taker,Annual,2,1,70740.00,141480.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3345,Meter Services,0000,,B 09,1,0460,Senior Office Assistant,Annual,1,1,82140.00,82140.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3345,Meter Services,0000,,B 09,1,0460,Senior Office Assistant,Annual,1,1,47364.00,47364.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3345,Meter Services,0000,,U 10,53,0417,District Clerk,Annual,1,1,61524.00,61524.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3345,Meter Services,0000,,U 10,53,0417,District Clerk,Annual,2,1,58728.00,117456.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3345,Meter Services,0000,,U 10,53,0417,District Clerk,Annual,1,1,56112.00,56112.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3345,Meter Services,0000,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,30974.00,30974.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3345,Meter Services,0000,,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,4002.00,4002.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3350,Water Meter Installation and Repair,0000,,2 0,53,9411,Construction Laborer,Hourly,6240,0,51.40,320736.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3350,Water Meter Installation and Repair,0000,,2 0,53,9411,Construction Laborer,Hourly,17,1,51.40,1817504.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3350,Water Meter Installation and Repair,0000,,2 0,16,8352,Assistant District Superintendent,Monthly,1,1,11466.00,137592.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3350,Water Meter Installation and Repair,0000,,2 0,16,8325,Pipe Locating Machine Operator,Hourly,2,1,64.15,266864.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3350,Water Meter Installation and Repair,0000,,2 0,53,8246,Foreman of Construction Laborers,Hourly,1,1,52.50,109200.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3350,Water Meter Installation and Repair,0000,,2 0,8,7183,Motor Truck Driver,Hourly,6240,0,48.73,304075.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3350,Water Meter Installation and Repair,0000,,2 0,8,7183,Motor Truck Driver,Hourly,4,1,48.73,405434.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3350,Water Meter Installation and Repair,0000,,2 0,36,6676,Foreman of Machinists,Hourly,4,1,64.39,535725.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3350,Water Meter Installation and Repair,0000,,2 0,36,6674,Machinist,Hourly,1,1,60.39,125611.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3350,Water Meter Installation and Repair,0000,,2 0,36,6672,Water Meter Machinist,Hourly,16,1,51.90,1727232.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3350,Water Meter Installation and Repair,0000,,BX 19,10,6555,Assistant Superintendent of Water Meters,Annual,1,1,124584.00,124584.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3350,Water Meter Installation and Repair,0000,,2 0,16,4756,Foreman of Plumbers,Hourly,2,1,64.15,266864.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3350,Water Meter Installation and Repair,0000,,2 0,16,4754,Plumber,Hourly,7,1,60.50,880880.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3350,Water Meter Installation and Repair,0000,,2 0,16,2233,Plumbing Inspector - in Charge,Monthly,1,1,11327.33,135928.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3350,Water Meter Installation and Repair,0000,,2 0,16,2231,Plumbing Inspector,Monthly,7,1,11119.33,934024.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3350,Water Meter Installation and Repair,0000,,2 0,53,1860,Foreman Of Pipe / Yards,Hourly,1,1,52.50,109200.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3350,Water Meter Installation and Repair,0000,,U 10,53,0417,District Clerk,Annual,1,1,56112.00,56112.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3350,Water Meter Installation and Repair,0000,,U 10,53,0417,District Clerk,Annual,3,1,53520.00,160560.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3350,Water Meter Installation and Repair,0000,,BX 18,10,0311,Projects Administrator,Annual,1,1,89112.00,89112.00
LOCAL,88,Department of Water Management,0200,Water Fund,1035,Bureau of Meter Services,2035,Bureau of Meter Services,3350,Water Meter Installation and Repair,0000,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,9311.00,9311.00
